               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  92,            0.030446,            0.020853,           0.0016149,             0.87986,             0.86493,             0.92866,             0.59102,            0.027619,            0.011402,          0.00078924,           0.0054955,           0.0054955,           0.0054955
                  93,            0.030438,            0.020732,           0.0015441,             0.88024,             0.86636,             0.92802,              0.5919,            0.027591,            0.011392,          0.00078406,            0.005446,            0.005446,            0.005446
                  94,            0.030534,            0.020852,           0.0016145,             0.87822,             0.87033,              0.9289,              0.5926,            0.027562,             0.01138,          0.00078285,           0.0053965,           0.0053965,           0.0053965
                  95,            0.030361,            0.020866,           0.0016513,             0.87456,             0.87581,             0.92947,             0.59285,            0.027532,            0.011368,          0.00078153,            0.005347,            0.005347,            0.005347
                  96,            0.030417,            0.020621,           0.0015331,             0.87886,             0.87128,             0.93013,             0.59416,            0.027508,            0.011354,           0.0007822,           0.0052975,           0.0052975,           0.0052975
                  97,            0.030292,            0.020832,           0.0015026,             0.87405,             0.87702,             0.93038,             0.59489,            0.027481,            0.011341,          0.00078004,            0.005248,            0.005248,            0.005248
                  98,            0.030214,             0.02064,           0.0016069,             0.87676,             0.87376,             0.93091,             0.59556,            0.027451,            0.011326,          0.00077717,           0.0051985,           0.0051985,           0.0051985
                  99,            0.030219,            0.020561,           0.0015391,              0.8797,             0.87189,              0.9315,             0.59651,             0.02742,            0.011312,           0.0007774,            0.005149,            0.005149,            0.005149
                 100,            0.030051,            0.020489,            0.001543,             0.87946,             0.87146,             0.93195,             0.59765,            0.027388,            0.011298,          0.00077639,           0.0050995,           0.0050995,           0.0050995
                 101,            0.029885,              0.0206,            0.001479,             0.87948,             0.87542,             0.93231,             0.59846,            0.027361,            0.011285,          0.00077386,             0.00505,             0.00505,             0.00505
                 102,            0.029989,            0.020489,           0.0016149,             0.88023,             0.87531,             0.93216,              0.5995,            0.027334,             0.01127,          0.00077163,           0.0050005,           0.0050005,           0.0050005
